model,condition,accuracy,precision,recall,f1,roc_auc,n_features,n_wrong,fit_seconds
Word TF-IDF + LinearSVC (reference),raw,0.9932225063938619,0.9936320754716981,0.993866477942911,0.9937492628847742,0.999505397250396,5000,53,1.0518815517425537
Char 3-5grams + LinearSVC,raw,0.9996163682864451,0.9997640396413403,0.9995281906109932,0.9996461012150525,0.9999984189576465,30000,3,3.670290470123291
TF-IDF -> SVD -> HistGradientBoosting,raw,0.9682864450127877,0.9633155328534944,0.9787685774946921,0.9709805757079335,0.9954589828535299,250,248,4.437163352966309
Stylometry only + Random Forest,raw,0.8832480818414322,0.8807234432234432,0.9075253597546591,0.8939235505983502,0.9523596365420787,10,913,2.348322868347168
Control: 'reuters' stump,raw,0.9939897698209719,0.9904071127749181,0.9985845718329794,0.994479032068601,0.9935676279997067,1,47,0.002005338668823242
Word TF-IDF + LinearSVC (reference),stripped,0.9846547314578005,0.9847022828900918,0.9870252418023119,0.9858623939679547,0.9982757415599183,5000,120,1.220747947692871
Char 3-5grams + LinearSVC,stripped,0.9983375959079284,0.9983490566037736,0.9985845718329794,0.9984668003302276,0.9999916336508792,30000,13,3.9449267387390137
TF-IDF -> SVD -> HistGradientBoosting,stripped,0.9597186700767263,0.9535367545076283,0.97310686482661,0.9632224168126094,0.9926598132433244,250,315,4.208741664886475
Stylometry only + Random Forest,stripped,0.8841432225063939,0.8802190280629706,0.9101203113941967,0.894919972164231,0.9526367142145392,10,906,2.327672243118286
Control: 'reuters' stump,stripped,0.5420716112531969,0.5420716112531969,1.0,0.703043370097023,0.5,1,3581,0.0030062198638916016
