group,n,nb_err,nb_%,svm_err,svm_%,lr_err,lr_%
fake WITH (Reuters) tag,5,2,40.0,3,60.0,2,40.0
fake WITHOUT (Reuters) tag,3576,226,6.3199105145413865,34,0.9507829977628635,70,1.9574944071588367
real WITH (Reuters) tag,4198,212,5.05002382086708,19,0.45259647451167223,29,0.6908051453072892
real WITHOUT (Reuters) tag,41,12,29.268292682926827,5,12.195121951219512,3,7.317073170731707
fake WITH 'reuters' anywhere,41,13,31.70731707317073,8,19.51219512195122,9,21.951219512195124
fake WITHOUT 'reuters' anywhere,3540,215,6.073446327683616,29,0.8192090395480226,63,1.7796610169491527
real WITH 'reuters' anywhere,4233,221,5.220883534136546,20,0.4724781478856603,30,0.7087172218284904
real WITHOUT 'reuters' anywhere,6,3,50.0,4,66.66666666666666,2,33.33333333333333
fake WITH wire dateline (CITY (Agency) -),0,0,,0,,0,
fake WITHOUT wire dateline (CITY (Agency) -),3581,228,6.3669366098855065,37,1.0332309410779112,72,2.010611561016476
real WITH wire dateline (CITY (Agency) -),3563,125,3.5082795397137247,11,0.30872859949480774,15,0.4209935447656469
real WITHOUT wire dateline (CITY (Agency) -),676,99,14.644970414201183,13,1.9230769230769231,17,2.514792899408284
