max_features,n_features,model,accuracy,f1,variant
50,50,nb,0.9060102301790282,0.9174064501629396,raw
50,50,svm,0.989769820971867,0.9905749293119699,raw
50,50,lr,0.9836317135549872,0.9849376323840904,raw
100,100,nb,0.9173913043478261,0.9264236902050114,raw
100,100,svm,0.989769820971867,0.9905838041431262,raw
100,100,lr,0.9808184143222506,0.9824067558057706,raw
200,200,nb,0.9217391304347826,0.9297520661157025,raw
200,200,svm,0.990537084398977,0.9912879679773958,raw
200,200,lr,0.9819693094629156,0.9834448749559704,raw
500,500,nb,0.931457800511509,0.9377178712526144,raw
500,500,svm,0.9900255754475703,0.9908083902898892,raw
500,500,lr,0.9845268542199489,0.9857864442617174,raw
1000,1000,nb,0.9335038363171355,0.939010086793338,raw
1000,1000,svm,0.9906649616368286,0.9913904941620474,raw
1000,1000,lr,0.9850383631713555,0.9862659936612278,raw
2000,2000,nb,0.9337595907928389,0.9389294977599623,raw
2000,2000,svm,0.9919437340153453,0.9925716307039264,raw
2000,2000,lr,0.9865728900255755,0.9876717153927439,raw
5000,5000,nb,0.9421994884910486,0.9467106814430559,raw
5000,5000,svm,0.9932225063938619,0.9937492628847742,raw
5000,5000,lr,0.9867007672634271,0.9877905611645926,raw
10000,10000,nb,0.9446291560102302,0.9489085545722714,raw
10000,10000,svm,0.9930946291560102,0.9936350777934936,raw
10000,10000,lr,0.9868286445012787,0.9879036993540811,raw
20000,20000,nb,0.9483375959079284,0.9523022432113342,raw
20000,20000,svm,0.9929667519181585,0.9935179728933412,raw
20000,20000,lr,0.9860613810741689,0.987205071017725,raw
50,50,nb,0.870460358056266,0.885523787998644,stripped
50,50,svm,0.9104859335038363,0.9186424918642492,stripped
50,50,lr,0.9117647058823529,0.9198606271777003,stripped
100,100,nb,0.8843989769820972,0.8968742870180242,stripped
100,100,svm,0.9322250639386189,0.9380551659654044,stripped
100,100,lr,0.9317135549872123,0.9376896149358226,stripped
200,200,nb,0.8952685421994885,0.9055690072639225,stripped
200,200,svm,0.9526854219948849,0.9567655994391213,stripped
200,200,lr,0.9512787723785167,0.9554854539081669,stripped
500,500,nb,0.9062659846547314,0.9140982069612095,stripped
500,500,svm,0.9691815856777494,0.9717302052785923,stripped
500,500,lr,0.9652173913043478,0.9682317215603831,stripped
1000,1000,nb,0.9127877237851663,0.9196323356115955,stripped
1000,1000,svm,0.9765984654731458,0.9785034652883825,stripped
1000,1000,lr,0.9707161125319693,0.9732320280537697,stripped
2000,2000,nb,0.9190537084398976,0.925044404973357,stripped
2000,2000,svm,0.9820971867007673,0.9835177772545326,stripped
2000,2000,lr,0.9762148337595908,0.9782048277478322,stripped
5000,5000,nb,0.9305626598465473,0.9357624512007571,stripped
5000,5000,svm,0.9846547314578005,0.9858623939679547,stripped
5000,5000,lr,0.978772378516624,0.9805575076130242,stripped
10000,10000,nb,0.9365728900255754,0.9413434247871334,stripped
10000,10000,svm,0.9863171355498721,0.9873954529390977,stripped
10000,10000,lr,0.9794117647058823,0.981145333177187,stripped
20000,20000,nb,0.9391304347826087,0.9436952921693873,stripped
20000,20000,svm,0.9867007672634271,0.9877502944640754,stripped
20000,20000,lr,0.9794117647058823,0.9811409160126509,stripped
