split,variant,model,n_train,n_test,test_fake,test_real,accuracy,balanced_accuracy,precision,recall,f1,recall_fake,roc_auc
random,raw,Naive Bayes,31277,7820,3580,4240,0.9423273657289003,0.9418157742173501,0.9458696163803247,0.9478773584905661,0.9468724231358229,0.9357541899441341,0.9859814746495204
random,raw,"SVM (Linear, calibrated)",31277,7820,3580,4240,0.9925831202046036,0.9925299093496364,0.9931603773584906,0.9931603773584906,0.9931603773584906,0.9918994413407821,0.9994811320754716
random,raw,Logistic Regression,31277,7820,3580,4240,0.9864450127877238,0.9858477390112785,0.9822678488100793,0.9929245283018868,0.9875674407694112,0.9787709497206704,0.998918651839359
random,stripped,Naive Bayes,31275,7819,3580,4239,0.9290190561452871,0.928608946454906,0.9354609929078014,0.9334748761500354,0.9344668792065179,0.9237430167597765,0.9794140206462736
random,stripped,"SVM (Linear, calibrated)",31275,7819,3580,4239,0.9835017265634992,0.9832642751992999,0.9835294117647059,0.9860816230242981,0.9848038638237719,0.9804469273743017,0.9981583618988878
random,stripped,Logistic Regression,31275,7819,3580,4239,0.9769791533444174,0.9760545203424967,0.9709909491761429,0.9870252418023119,0.9789424426766495,0.9650837988826816,0.9973791515601999
temporal,raw,Naive Bayes,22337,16760,3312,13448,0.8914081145584726,0.910485045995741,0.984015984015984,0.8789411064842356,0.9285153181461115,0.9420289855072463,0.9742637681877879
temporal,raw,"SVM (Linear, calibrated)",22337,16760,3312,13448,0.9798926014319809,0.9841704637221346,0.9977978586073354,0.9770969660916121,0.9873389187361461,0.991243961352657,0.998733087476686
temporal,raw,Logistic Regression,22337,16760,3312,13448,0.9425417661097852,0.9596439820442744,0.996816553919618,0.931365258774539,0.9629800484373198,0.9879227053140096,0.9963365329901973
temporal,stripped,Naive Bayes,22335,16759,3312,13447,0.8657437794617817,0.8889164730275847,0.9793646716328452,0.8505986465382613,0.9104513253203853,0.9272342995169082,0.9608853994335967
temporal,stripped,"SVM (Linear, calibrated)",22335,16759,3312,13447,0.943552717942598,0.9565186966796466,0.994227880129675,0.9350784561612255,0.9637464551237832,0.9779589371980676,0.9935013251164259
temporal,stripped,Logistic Regression,22335,16759,3312,13447,0.8967718837639477,0.927367213077356,0.9938464132175672,0.8767754889566446,0.9316475701303832,0.9779589371980676,0.9893973845790721
